Número	NCidade	Local	Idade	Cidade	Tempo	Bairro	Cor	Religião	Religião_qual	Estudando	Estudo	Casa	Qualeotipodehabitacao	Habit_outro	Habit_alug	Comodos	Trabalho	Recursos	Renda_familiar	Renda_div_pessoa	Renda_da_familia	Classe	Civil
1	1	3	20	1	1	1	3	1	2	2	3	4	1		1	3	3		250	2	125	Não Soube Informar	Mora Junto
2	1	3	18	1	1	1	3	2		2	3	4	1		1	4	3		465	3	155	Média	Solteira
3	1		20	2	2		3	1	2	2	3	3	1		1	3	3		480	1	480	pobre média	casada
4	1	3	19	1	4	1	3	2		2	3	3	1		1	2	2	465	665	2	333	pobre	solteira
5	1	3	17	2	4	1	1	1	1	2	5	3	1		1	3	1	465	1100	2	550	pobre	casada
6	1	2	17	1	2	1	1	1	2	2	3	4	1		1	6	2	50	695	3	232	média	casada
7	1	2	20	1	1	1	3	2		2	3	3	1		4	4	3		550	1	550	pobre	casada
8	1		19	1	1	1	3	2		2	5	9	1		1	5	3		500	2	250	média	solteira
9	1	2	15	1	1		3	2		2	3	7	1		3	4	3		600	2	300	média	Solteira
10	1	2	19	1	1	1	1	1	1	2	5	3	1		1	3	3		300	1	300	Baixa	casada
11	1	4	18	2	4	1	1	1	2	2	6	3	1		3	3	3		500	3	167	Pobre	Casada
12	1	3	18	1	1	1	3	2		2	3	5	1		1	4	3		1000	5	200	Não soube informar	solteira
13	1	3	16	2	1	1	1	2		2	3	3	1		1	3	3		465	3	155	Não soube responder	Solteira
14	1	4	21	1	1	1	1	2		1	3	3	1		1	3	2	134	600	3	200	Média	Solteira
15	1	1	20	1	1	1	3	1	2	2	5	5	1		1	3	3		750	5	150	Normal	Solteira
16	1	3	18	1	1	1	1	2		2	3	4	1		1	4	3		250	4	63	Não soube informar	Solteira
17	1	1	23	2	3	1	2	1	2	2	5	3	1		1	3	3		465			Pobre	Casada
18	1	4	19	1	1	1	2	2		1	5	4	1		1	3	3		900	4	225	pobre	solteira
